-78, -191, 633
0, -268, 647
-29, -263, 552
30, -232, 363
70, -91, 167
70, -91, 167
48, 46, -99
-56, 194, -448
-64, 387, -646
-213, 272, -832
-509, 23, -1131
-596, -34, -1318
-315, 277, -1171
1061, 296, 63
1061, 296, 63
1364, 143, 878
834, 124, 1560
1861, 1345, 1998
-,-,-
-276, -178, 516
-185, -201, 597
-113, -206, 566
-327, -145, 468
-327, -145, 468
-375, -133, 494
-409, -226, 421
-339, -115, 430
-308, -19, 402
-425, 6, 217
-338, -54, 119
-236, -21, -115
-274, 115, -460
-222, 322, -669
-191, 260, -751
-191, 260, -751
-25, 195, -732
357, 191, -690
124, -74, -746
498, -117, -630
829, -168, -364
537, -260, -266
139, -67, 270
586, 639, 1273
1403, 870, 1974
-,-,-
-223, -250, 717
-162, -203, 693
-297, -150, 660
-383, -81, 614
-459, -127, 571
-461, -159, 534
-453, -80, 519
-444, -56, 549
-444, -56, 549
-378, -59, 530
-387, -130, 404
-299, -72, 259
-212, 77, 78
-104, 87, -176
-95, 140, -302
-271, 98, -515
-271, 98, -515
-223, 66, -571
-99, -49, -785
152, -19, -910
299, 125, -761
712, 74, -457
705, -117, -319
355, -92, -242
355, -92, -242
156, 395, 794
1717, 653, 1977
-,-,-
-378, -124, 467
-440, -52, 367
-448, -25, 133
-448, -25, 133
-374, 60, 348
-224, 6, 505
-247, -161, 556
-155, -164, 595
51, -180, 594
143, -109, 603
94, -68, 424
94, -68, 424
-44, -86, 269
-301, -144, -6
-485, -99, -324
-24, 30, -467
124, 155, -829
124, 155, -829
126, 78, -996
422, 110, -781
615, 48, -364
275, -82, 109
379, 244, 1079
1373, 582, 1980
1373, 582, 1980
-,-,-
-221, -114, 590
-291, -177, 548
-205, -181, 664
-261, -140, 638
-301, -122, 629
-136, -128, 719
-119, -127, 725
-218, -125, 704
-311, -138, 671
-329, -134, 645
-259, -103, 654
-259, -103, 654
-327, -90, 616
-357, -61, 580
-321, -88, 521
-298, -52, 416
-218, 44, 261
-146, 104, 20
-200, 53, -245
-200, 53, -245
-311, 39, -502
-381, 81, -686
-59, 62, -767
333, 85, -762
436, 79, -847
475, -145, -832
557, -274, -388
557, -274, -388
391, 34, -78
216, 370, 634
1442, 829, 1980
1673, 727, 1998
-,-,-
-385, -287, 331
-285, -171, 533
-243, -81, 587
-333, -112, 612
-383, -199, 587
-383, -199, 587
-343, -162, 598
-322, -198, 602
-331, -184, 647
-325, -157, 629
-305, -128, 564
-370, -211, 431
-375, -193, 323
-355, -165, 177
-256, -111, 69
-202, -20, -99
-162, 90, -289
-162, 90, -289
-355, 117, -472
-460, 36, -554
-387, -51, -603
-152, 105, -596
234, 151, -648
